EP2 - Ciclistas!

Ranking - Rodada 1:
   1o - 0997 
   2o - 0996 
   3o - 0998 
   4o - 0999 
   5o - 0995 
   6o - 0991 
   7o - 0990 
   8o - 0992 
   9o - 0994 
  10o - 0989 
  11o - 0985 
  12o - 0987 
  13o - 0986 
  14o - 0993 
  15o - 0981 
  16o - 0984 
  17o - 0988 
  18o - 0980 
  19o - 0976 
  20o - 0975 
  21o - 0978 
  22o - 0977 
  23o - 0983 
  24o - 0982 
  25o - 0979 
  26o - 0972 
  27o - 0970 
  28o - 0971 
  29o - 0966 
  30o - 0968 
  31o - 0969 
  32o - 0973 
  33o - 0965 
  34o - 0962 
  35o - 0967 
  36o - 0957 
  37o - 0974 
  38o - 0964 
  39o - 0954 
  40o - 0956 
  41o - 0951 
  42o - 0955 
  43o - 0952 
  44o - 0963 
  45o - 0959 
  46o - 0936 
  47o - 0958 
  48o - 0953 
  49o - 0961 
  50o - 0937 
  51o - 0843 
  52o - 0931 
  53o - 0943 
  54o - 0933 
  55o - 0926 
  56o - 0911 
  57o - 0938 
  58o - 0905 
  59o - 0940 
  60o - 0948 
  61o - 0934 
  62o - 0960 
  63o - 0879 
  64o - 0872 
  65o - 0950 
  66o - 0942 
  67o - 0886 
  68o - 0939 
  69o - 0903 
  70o - 0904 
  71o - 0929 
  72o - 0945 
  73o - 0949 
  74o - 0894 
  75o - 0909 
  76o - 0871 
  77o - 0947 
  78o - 0885 
  79o - 0941 
  80o - 0891 
  81o - 0935 
  82o - 0946 
  83o - 0932 
  84o - 0923 
  85o - 0930 
  86o - 0924 
  87o - 0920 
  88o - 0917 
  89o - 0919 
  90o - 0921 
  91o - 0925 
  92o - 0918 
  93o - 0914 
  94o - 0944 
  95o - 0927 
  96o - 0916 
  97o - 0928 
  98o - 0907 
  99o - 0922 
 100o - 0906 
 101o - 0915 
 102o - 0910 
 103o - 0912 
 104o - 0913 
 105o - 0902 
 106o - 0898 
 107o - 0900 
 108o - 0908 
 109o - 0892 
 110o - 0895 
 111o - 0897 
 112o - 0896 
 113o - 0899 
 114o - 0888 
 115o - 0893 
 116o - 0890 
 117o - 0882 
 118o - 0883 
 119o - 0874 
 120o - 0887 
 121o - 0901 
 122o - 0876 
 123o - 0881 
 124o - 0880 
 125o - 0877 
 126o - 0878 
 127o - 0654 
 128o - 0884 
 129o - 0867 
 130o - 0863 
 131o - 0869 
 132o - 0866 
 133o - 0889 
 134o - 0868 
 135o - 0870 
 136o - 0864 
 137o - 0862 
 138o - 0865 
 139o - 0826 
 140o - 0858 
 141o - 0825 
 142o - 0859 
 143o - 0861 
 144o - 0875 
 145o - 0802 
 146o - 0757 
 147o - 0860 
 148o - 0804 
