EP2 - Ciclistas!

Ranking - Rodada 1:
   1o - 0993 
   2o - 0997 
   3o - 0992 
   4o - 0991 
   5o - 0996 
   6o - 0983 
   7o - 0987 
   8o - 0988 
   9o - 0976 
  10o - 0978 
  11o - 0977 
  12o - 0973 
  13o - 0975 
  14o - 0982 
  15o - 0972 
  16o - 0971 
  17o - 0969 
  18o - 0970 
  19o - 0955 
  20o - 0998 
  21o - 0974 
  22o - 0958 
  23o - 0959 
  24o - 0968 
  25o - 0990 
  26o - 0995 
  27o - 0999 
  28o - 0986 
  29o - 0989 
  30o - 0984 
  31o - 0980 
  32o - 0994 
  33o - 0979 
  34o - 0967 
  35o - 0433 
  36o - 0965 
  37o - 0981 
  38o - 0964 
  39o - 0966 
  40o - 0960 
  41o - 0985 
  42o - 0961 
  43o - 0957 
  44o - 0949 
  45o - 0953 
  46o - 0962 
  47o - 0948 
  48o - 0945 
  49o - 0950 
  50o - 0938 
  51o - 0944 
  52o - 0942 
  53o - 0956 
  54o - 0935 
  55o - 0924 
  56o - 0963 
  57o - 0936 
  58o - 0931 
  59o - 0920 
  60o - 0917 
  61o - 0923 
  62o - 0930 
  63o - 0925 
  64o - 0916 
  65o - 0914 
  66o - 0921 
  67o - 0915 
  68o - 0828 
  69o - 0952 
  70o - 0943 
  71o - 0911 
  72o - 0954 
  73o - 0946 
  74o - 0941 
  75o - 0910 
  76o - 0947 
  77o - 0905 
  78o - 0951 
  79o - 0940 
  80o - 0939 
  81o - 0934 
  82o - 0906 
  83o - 0902 
  84o - 0922 
  85o - 0929 
  86o - 0932 
  87o - 0912 
  88o - 0918 
  89o - 0933 
  90o - 0926 
  91o - 0913 
  92o - 0901 
  93o - 0903 
  94o - 0919 
  95o - 0909 
  96o - 0904 
  97o - 0894 
  98o - 0898 
  99o - 0928 
 100o - 0895 
 101o - 0900 
 102o - 0899 
 103o - 0896 
 104o - 0908 
 105o - 0897 
 106o - 0927 
 107o - 0893 
 108o - 0889 
 109o - 0883 
 110o - 0885 
 111o - 0892 
 112o - 0907 
 113o - 0879 
 114o - 0880 
 115o - 0886 
 116o - 0888 
 117o - 0881 
 118o - 0877 
 119o - 0890 
 120o - 0868 
 121o - 0829 
 122o - 0882 
 123o - 0887 
 124o - 0884 
 125o - 0876 
 126o - 0873 
 127o - 0878 
 128o - 0874 
 129o - 0891 
 130o - 0859 
 131o - 0862 
 132o - 0865 
 133o - 0864 
 134o - 0858 
 135o - 0867 
 136o - 0871 
 137o - 0872 
 138o - 0854 
 139o - 0863 
 140o - 0870 
 141o - 0851 
 142o - 0857 
 143o - 0856 
 144o - 0861 
 145o - 0855 
 146o - 0860 
 147o - 0845 
 148o - 0866 
