EP2 - Ciclistas!

Ranking - Rodada 1:
   1o - 0931 
   2o - 0999 
   3o - 0932 
   4o - 0930 
   5o - 0933 
   6o - 0998 
   7o - 0994 
   8o - 0997 
   9o - 0995 
  10o - 0989 
  11o - 0992 
  12o - 0993 
  13o - 0991 
  14o - 0996 
  15o - 0984 
  16o - 0990 
  17o - 0985 
  18o - 0987 
  19o - 0988 
  20o - 0980 
  21o - 0981 
  22o - 0986 
  23o - 0982 
  24o - 0983 
  25o - 0979 
  26o - 0977 
  27o - 0975 
  28o - 0976 
  29o - 0934 
  30o - 0970 
  31o - 0974 
  32o - 0972 
  33o - 0973 
  34o - 0969 
  35o - 0966 
  36o - 0967 
  37o - 0965 
  38o - 0978 
  39o - 0964 
  40o - 0971 
  41o - 0962 
  42o - 0968 
  43o - 0956 
  44o - 0960 
  45o - 0961 
  46o - 0958 
  47o - 0963 
  48o - 0959 
  49o - 0935 
  50o - 0951 
  51o - 0953 
  52o - 0954 
  53o - 0957 
  54o - 0947 
  55o - 0949 
  56o - 0946 
  57o - 0948 
  58o - 0944 
  59o - 0952 
  60o - 0955 
  61o - 0950 
  62o - 0936 
  63o - 0937 
  64o - 0943 
  65o - 0942 
  66o - 0945 
  67o - 0939 
  68o - 0908 
  69o - 0941 
  70o - 0940 
  71o - 0857 
  72o - 0864 
  73o - 0863 
  74o - 0938 
  75o - 0906 
  76o - 0866 
  77o - 0907 
  78o - 0865 
  79o - 0855 
  80o - 0856 
  81o - 0852 
  82o - 0858 
  83o - 0854 
  84o - 0867 
  85o - 0899 
  86o - 0895 
  87o - 0853 
  88o - 0898 
  89o - 0896 
  90o - 0851 
  91o - 0897 
  92o - 0892 
  93o - 0889 
  94o - 0891 
  95o - 0885 
  96o - 0887 
  97o - 0883 
  98o - 0886 
  99o - 0850 
 100o - 0894 
 101o - 0884 
 102o - 0888 
 103o - 0874 
 104o - 0873 
 105o - 0893 
 106o - 0881 
 107o - 0877 
 108o - 0879 
 109o - 0890 
 110o - 0880 
 111o - 0876 
 112o - 0878 
 113o - 0870 
 114o - 0859 
 115o - 0872 
 116o - 0869 
 117o - 0860 
 118o - 0861 
 119o - 0925 
 120o - 0868 
 121o - 0927 
 122o - 0862 
 123o - 0882 
 124o - 0875 
 125o - 0929 
 126o - 0918 
 127o - 0924 
 128o - 0920 
 129o - 0871 
 130o - 0926 
 131o - 0923 
 132o - 0922 
 133o - 0919 
 134o - 0912 
 135o - 0914 
 136o - 0928 
 137o - 0909 
 138o - 0913 
 139o - 0921 
 140o - 0905 
 141o - 0916 
 142o - 0910 
 143o - 0901 
 144o - 0903 
 145o - 0911 
 146o - 0917 
 147o - 0848 
 148o - 0779 
