EP2 - Ciclistas!
 299 EH O PRIMEIRO COLOCADO!!!!!!!
*** RODADA   1 ***

Ranking - Rodada 1:
   1o - 0299 
   2o - 0268 
   3o - 0267 
   4o - 0298 
   5o - 0269 
   6o - 0260 
   7o - 0261 
   8o - 0265 
   9o - 0266 
  10o - 0258 
  11o - 0256 
  12o - 0264 
  13o - 0257 
  14o - 0262 
  15o - 0297 
  16o - 0259 
  17o - 0295 
  18o - 0294 
  19o - 0292 
  20o - 0296 
  21o - 0289 
  22o - 0293 
  23o - 0291 
  24o - 0284 
  25o - 0285 
  26o - 0290 
  27o - 0283 
  28o - 0278 
  29o - 0279 
  30o - 0288 
  31o - 0281 
  32o - 0280 
  33o - 0277 
  34o - 0282 
  35o - 0286 
  36o - 0287 
  37o - 0255 
  38o - 0272 
  39o - 0275 
  40o - 0273 
  41o - 0276 
  42o - 0270 
  43o - 0219 
  44o - 0271 
  45o - 0252 
  46o - 0274 
  47o - 0220 
  48o - 0254 
  49o - 0241 
  50o - 0253 
  51o - 0242 
  52o - 0263 
  53o - 0218 
  54o - 0251 
  55o - 0249 
  56o - 0248 
  57o - 0245 
  58o - 0244 
  59o - 0250 
  60o - 0239 
  61o - 0240 
  62o - 0247 
  63o - 0243 
  64o - 0237 
  65o - 0238 
  66o - 0246 
  67o - 0228 
  68o - 0233 
  69o - 0229 
  70o - 0234 
  71o - 0235 
  72o - 0232 
  73o - 0225 
  74o - 0231 
  75o - 0236 
  76o - 0223 
  77o - 0230 
  78o - 0215 
  79o - 0226 
  80o - 0216 
  81o - 0227 
  82o - 0224 
  83o - 0213 
  84o - 0221 
  85o - 0222 
  86o - 0212 
  87o - 0217 
  88o - 0180 
  89o - 0211 
  90o - 0206 
  91o - 0205 
  92o - 0182 
  93o - 0183 
  94o - 0181 
  95o - 0198 
  96o - 0184 
  97o - 0214 
  98o - 0185 
  99o - 0197 
 100o - 0204 
 101o - 0207 
 102o - 0208 
 103o - 0209 
 104o - 0191 
 105o - 0210 
 106o - 0193 
 107o - 0201 
 108o - 0203 
 109o - 0199 
 110o - 0200 
 111o - 0188 
 112o - 0202 
 113o - 0196 
 114o - 0192 
 115o - 0179 
 116o - 0190 
 117o - 0195 
 118o - 0189 
 119o - 0194 
 120o - 0186 
 121o - 0177 
 122o - 0170 
 123o - 0175 
 124o - 0187 
 125o - 0174 
 126o - 0171 
 127o - 0168 
 128o - 0167 
 129o - 0107 
 130o - 0109 
 131o - 0176 
 132o - 0169 
 133o - 0119 
 134o - 0126 
 135o - 0172 
 136o - 0173 
 137o - 0103 
 138o - 0129 
 139o - 0166 
 140o - 0161 
 141o - 0178 
 142o - 0104 
 143o - 0164 
 144o - 0121 
 145o - 0165 
 146o - 0134 
 147o - 0123 
 148o - 0159 
 149o - 0156 
 150o - 0124 
 151o - 0162 
 152o - 0157 
 153o - 0135 
 154o - 0151 
 155o - 0155 
 156o - 0163 
 157o - 0131 
 158o - 0152 
 159o - 0111 
 160o - 0110 
 161o - 0150 
 162o - 0160 
 163o - 0144 
 164o - 0143 
 165o - 0154 
 166o - 0147 
 167o - 0158 
 168o - 0149 
 169o - 0142 
 170o - 0138 
 171o - 0148 
 172o - 0140 
 173o - 0145 
 174o - 0153 
